property_id,address,city,price,agent_id
81,"02215 Christine Street Suite 954
Lake Steve, SC 00738",North Donnaview,211190,7
82,"39007 Williams Forks
South Michael, AL 57027",West Richard,636120,4
83,"015 Jesus Stravenue
Lake Donna, LA 75945",Goodwinside,399229,5
84,"1123 Duane Knolls Apt. 079
Oscarland, MA 37717",East Philipland,566868,8
85,"21864 Rick Brooks Apt. 979
South Christopher, NH 24391",North Ashley,247063,3
86,"PSC 7586, Box 5954
APO AP 19479",Hallmouth,646555,4
87,"1503 Garcia Hill
South Ryanville, CO 50398",Nathanielfurt,506362,2
88,"016 Jennifer Avenue
Juanberg, SC 57448",Terrellstad,341265,4
89,"92535 Douglas Court
Rebeccabury, MI 14371",Lorimouth,148329,5
90,"2133 Meredith Rapids
New Daniel, NJ 82280",Coxborough,422062,10
91,"76590 Daniel Common Suite 022
Port Hunter, LA 44349",Michellestad,525066,9
92,"8388 Amanda Dale Suite 214
Bennettport, MS 84529",Johnmouth,276104,8
93,"43151 Derek Spur
New Jaimetown, AR 09745",Lake Danielleville,145980,10
94,"99258 Gabrielle Mountain Apt. 351
Stevenfurt, FL 84547",Tranburgh,183256,1
95,"7461 Karen Parkway
Isaiahberg, KY 26249",Brianland,526460,2
96,"82624 Tapia Vista
West Richardtown, WV 71990",Acevedofort,761868,10
97,"621 Daniel Rapid
Lake Danielleberg, IN 91731",Anneside,671002,2
98,"01368 Dennis Fork
Robbinschester, FL 73137",Lake Ginafurt,433284,8
99,"0249 Tabitha Circles
Porterborough, CA 77882",Eddieshire,277658,4
100,"86371 John Wall
Kimberg, WI 18885",Richardshire,393223,1
